DATA,PM10,co,no2,Coletor
20/12/1997,41559,358,72948,Carlos F.
21/12/1997,37005,32033,69305,Carlos F.
22/12/1997,52238,39433,117145,Carlos F.
23/12/1997,50731,38229,85687,Carlos F.
24/12/1997,54308,34229,14845,Carlos F.
25/12/1997,40713,156,55442,Carlos F.
26/12/1997,46513,22143,8423,Carlos F.
27/12/1997,38002,21571,6395,Patrícia M.
28/12/1997,32869,18914,53817,Carlos F.
29/12/1997,37888,29,101205,Olemir H.
30/12/1997,5208,31086,96364,José Silveira
31/12/1997,40815,26617,102865,José Silveira
